_name,ReFloat - Default Tune,ReFloat - VESCmann Allround,Refloat - Full Send
double_float_version,,,
double_kp,20,25,28
double_kp2,0.6,0.3,0.8
double_kp_brake,1,0.9,1
double_kp2_brake,1,0.9,1
double_ki,0.005,0.03,0.04
double_ki_limit,30,30,30
double_kd,0,0,0
double_mahony_kp,2,2,1.4
double_mahony_kp_roll,1.4,2,1
double_booster_angle,8,0,
double_booster_ramp,4,2,
double_booster_current,0,10,0
double_brkbooster_angle,8,0,
double_brkbooster_ramp,4,4,
double_brkbooster_current,0,10,0
double_tiltback_constant,0,0,0
int_tiltback_constant_erpm,500,,
double_tiltback_variable,0.1,,
double_tiltback_variable_max,0,0,0
int_tiltback_variable_erpm,0,,
double_noseangling_speed,5,,
double_torquetilt_strength,0,0.1,0.15
double_torquetilt_strength_regen,0.1,0.05,0
double_torquetilt_start_current,15,15,30
double_torquetilt_angle_limit,8,5,6
double_torquetilt_on_speed,5,5,7
double_torquetilt_off_speed,3,3,5
double_turntilt_strength,6,2,0
double_turntilt_angle_limit,3,2,
double_turntilt_start_angle,2,2,
int_turntilt_start_erpm,1000,1000,
double_turntilt_speed,5,3,
int_turntilt_erpm_boost,200,200,
int_turntilt_erpm_boost_end,5000,5000,
int_turntilt_yaw_aggregate,90,90,
double_atr_strength_up,1,1,1.9
double_atr_strength_down,1,1,0.6
double_atr_torque_offset,,,
double_atr_threshold_up,1.5,1.5,0.5
double_atr_threshold_down,1.5,1.5,0.8
double_atr_speed_boost,0.3,0.3,0.3
double_atr_angle_limit,8,6,10
double_atr_on_speed,4,10,8
double_atr_off_speed,3,7,5
double_atr_response_boost,1.5,1,1.5
double_atr_transition_boost,3,1,4
double_atr_filter,5,5,5
double_atr_amps_accel_ratio,9,12,9
double_atr_amps_decel_ratio,8,12,8
double_braketilt_strength,0,0,5
double_braketilt_lingering,2,,1
double_fault_pitch,,,
double_fault_roll,,,
int_fault_delay_pitch,,,
int_fault_delay_roll,,,
int_fault_delay_switch_half,,,
int_fault_delay_switch_full,,,
int_fault_adc_half_erpm,,,
bool_fault_is_dual_switch,,,
bool_fault_moving_fault_disabled,,,
bool_fault_darkride_enabled,,,
bool_fault_reversestop_enabled,,,
double_tiltback_duty_angle,,,
double_tiltback_duty_speed,,,
double_tiltback_duty,,,
double_tiltback_hv_angle,,,
double_tiltback_hv_speed,,,
double_tiltback_lv_angle,,,
double_tiltback_lv_speed,,,
double_tiltback_return_speed,,,
enum_inputtilt_remote_type,,,
double_inputtilt_speed,,,
double_inputtilt_angle_limit,,,
bool_inputtilt_invert_throttle,,,
double_inputtilt_deadband,,,
double_startup_pitch_tolerance,,,
double_startup_roll_tolerance,,,
double_startup_speed,,,
double_startup_click_current,,,
bool_startup_softstart_enabled,,,
bool_startup_simplestart_enabled,,,
bool_startup_pushstart_enabled,,,
bool_startup_dirtylandings_enabled,,,
double_brake_current,,,
int_hertz,,,
double_fault_adc1,,,
double_fault_adc2,,,
double_tiltback_hv,,,
double_tiltback_lv,,,
double_dark_pitch_offset,,,
bool_is_buzzer_enabled,,,
bool_is_footbuzz_enabled,,,
